Nome Produto: ;Smartphone Motorola Moto G 5 Ouro 5" Android™ Nougat 7.0 Câm 13Mp Dualchip 32Gb (Cód: 9413404)
Preco: ;R$ 879,12
Produto sob encomenda;Formas de envio
Marca;Custo
Cód. Barras;Entrega estimada
Altura;Não
Profundidade;Motorola
Referência;7892597339969
Garantia;14.43 cm
Tipo de Aparelho;0.89 cm
MP3 Player;XT1672
Gravação de Vídeo;12 meses
Bluetooth;Desbloqueado
Rádio AM/FM;Sim
Cartão Incluso;Sim
Formato de Áudio;Bluetooth v4.1
Sincronização com PC;Sim
Touch Screen;Não
Sinal de TV;.amr, .3gp, .mp4, .awb, .m4a, .aac, .mka, .mkv, .ts, .flac, .mp3, .wav, .ogg e.oga
Visualizador de Arquivos;Sim
Tamanho da Tela (Pol);Sim
Tipo de Tela;Não
Referência / Modelo;Sim
Telefone SAC / Assistência Técnica;5"
Aplicativos;TFT Full HD
Conectividade;XT1672
Tipo de Mensagens;4002-1244 – capitais e regiões metropolitanas e 0800 773 1244 – demais localidades
GPS;Google Play (+ de 1 milhão de aplicativos disponiveis), Youtube e etc
Resolução da Tela;4G + Wi-Fi
Slot para Cartão;SMS, MMS e E-mail
Voltagem do Carregador;Sim
Memória RAM;1920 x 1080
Conexões;Sim
Processador;Bivolt
Bateria;2 GB
Sistema Operacional;Entrada Fone de Ouvido, Entrada Micro USB, Entrada Nano Sim (4FF), Entrada Micro SD.
Memória Interna;Octa-Core Qualcomm Snapdragon 430 (MSM8937)
Memória Interna Expansível Até;2800 mAh
Câmera Frontal;Android™ Nougat 7.0
Câmera Traseira;32 GB
Padrão de Chip;128 GB
NFC;5MP
Sensores;13MP
Conteúdo da Embalagem;Nano-SIM
Peso;Não
Largura;Impressão Digital
Peso;01 Telefone 32GB Ouro, 01 Kit De Manuais, 01 Cabo De Sincronização, 01 Fone De Ouvido Estereo, 01 Carregador De Parede, 01 Capa Traseira Ouro, 01 Bateria.
Conectividade;0.15 Kg
Tipo de Mensagens;7.28 cm
GPS;0.151 Kg
Voltagem do Carregador;4G + Wi-Fi
Memória Interna;SMS, MMS e E-mail
Conteúdo da Embalagem;Sim
Formato de Áudio;Bivolt
Tamanho da Tela (Pol);32 GB
Tipo de Tela;01 Telefone 32GB Ouro, 01 Kit De Manuais, 01 Cabo De Sincronização, 01 Fone De Ouvido Estereo, 01 Carregador De Parede, 01 Capa Traseira Ouro, 01 Bateria.
Referência / Modelo;.amr, .3gp, .mp4, .awb, .m4a, .aac, .mka, .mkv, .ts, .flac, .mp3, .wav, .ogg e.oga
Telefone SAC / Assistência Técnica;5"
Aplicativos;TFT Full HD
Conexões;XT1672
Processador;4002-1244 – capitais e regiões metropolitanas e 0800 773 1244 – demais localidades
Bateria;Google Play (+ de 1 milhão de aplicativos disponiveis), Youtube e etc
Sistema Operacional;Entrada Fone de Ouvido, Entrada Micro USB, Entrada Nano Sim (4FF), Entrada Micro SD.
Cód. Barras;Octa-Core Qualcomm Snapdragon 430 (MSM8937)
Câmera Frontal;2800 mAh
Câmera Traseira;Android™ Nougat 7.0
Memória Interna Expansível Até;7892597339969
NFC;5MP
Bluetooth;13MP
Visualizador de Arquivos;128 GB
Rádio AM/FM;Não
Cartão Incluso;Bluetooth v4.1
Slot para Cartão;Sim
Padrão de Chip;Sim
Sensores;Não
Resolução da Tela;Sim
Memória RAM;Nano-SIM
Produto sob encomenda;Impressão Digital
Marca;1920 x 1080
Referência;2 GB
Altura;Não
Largura;Motorola
Profundidade;XT1672
Garantia;14.43 cm
Tipo de Aparelho;7.28 cm
Touch Screen;0.89 cm
MP3 Player;12 meses
Sinal de TV;Desbloqueado
